"item";"location";"games";"location_general"
"Fire Stone";"Received from a Scientist on Thumb Pier (only one stone can be chosen)";"B|W";"Castelia City"
"Water Stone";"Received from a Scientist on Thumb Pier (only one stone can be chosen)";"B|W";"Castelia City"
"Wide Lens";"Received from the man in black, if the player has Pokémon with 5 different outsider IDs";"B|W";"Castelia City"
"Everstone";"Received from the man in black, if the player has Pokémon with 10 different outsider IDs";"B|W";"Castelia City"
"Zoom Lens";"Received from the man in black, if the player has Pokémon with 20 different outsider IDs";"B|W";"Castelia City"
"Choice Scarf";"Received from the man in black, if the player has Pokémon with 30 different outsider IDs";"B|W";"Castelia City"
"PP Max";"Received from the man in black, if the player has Pokémon with 40 different outsider IDs";"B|W";"Castelia City"
"Master Ball";"Received from the man in black, if the player has Pokémon with 50 different outsider IDs";"B|W";"Castelia City"
"Quick Ball";"47F, received from a Clerk ♂ in the upper-right corner";"B|W";"Castelia City"
"Timer Ball";"47F, received from a Clerk ♂ in the upper-right corner";"B|W";"Castelia City"
"Scope Lens";"47F, received from a Scientist in the lower-right corner";"B|W|B2|W2";"Castelia City"
"Revive";"47F, in the lower-left corner";"B|W";"Castelia City"
"Hyper Potion";"55F, in the middle of the floor";"B|W";"Castelia City"
"Exp. Share";"55F, reward for defeating Janitor/President Geoff";"B|W";"Castelia City"
"TM44 (Rest)";"Received from a HikerBW/GuitaristB2W2 on 11F of the western building";"B|W|B2|W2";"Castelia City"
"Cheri Berry";"Received from HarlequinBW/Clerk ♂B2W2 if shown a Pokémon of the requested type (only one Berry can be chosen per day)";"B|W|B2|W2";"Castelia City"
"Chesto Berry";"Received from HarlequinBW/Clerk ♂B2W2 if shown a Pokémon of the requested type (only one Berry can be chosen per day)";"B|W|B2|W2";"Castelia City"
"Pecha Berry";"Received from HarlequinBW/Clerk ♂B2W2 if shown a Pokémon of the requested type (only one Berry can be chosen per day)";"B|W|B2|W2";"Castelia City"
"Rawst Berry";"Received from HarlequinBW/Clerk ♂B2W2 if shown a Pokémon of the requested type (only one Berry can be chosen per day)";"B|W|B2|W2";"Castelia City"
"Aspear Berry";"Received from HarlequinBW/Clerk ♂B2W2 if shown a Pokémon of the requested type (only one Berry can be chosen per day)";"B|W|B2|W2";"Castelia City"
"TM70 (Flash)";"Received from the man behind a dumpster";"B|W|B2|W2";"Castelia City"
"Lemonade";"Received from the manager";"B|W";"Castelia City"
"Yache Berry";"In Team Plasma's hideout, received from Iris after rescuing Munna";"B|W";"Castelia City"
"Smoke Ball";"In Team Plasma's hideout after rescuing Munna";"B|W";"Castelia City"
"Amulet Coin";"Reward from the Dancers after defeating all three of them";"B|W";"Castelia City"
"TM45 (Attract)";"Received from a girl on 47F of the southeastern building";"B|W|B2|W2";"Castelia City"
"Eviolite";"Received from a Scientist on 1F of the northeastern building, if at least 25BW/40B2W2 Pokémon have been seen in the Pokédex";"B|W|B2|W2";"Castelia City"
"TM95 (Snarl)";"Received from Mr. Lock via the Lock Capsule on 11F of the western building (the Lock Capsule was never made available, making this item unobtainable)";"B|W";"Castelia City"
"Hyper Potion";"2F, northeast of Lass Kara";"B|W";"Celestial Tower"
"TM61 (Will-O-Wisp)";"2F, west of Pokéfan Georgia";"B|W";"Celestial Tower"
"Spell Tag";"3F, south of Psychic Belle";"B|W";"Celestial Tower"
"Revive";"4F, northeast of Ace Trainer Beckett";"B|W";"Celestial Tower"
"TM65 (Shadow Claw)";"4F, west of Ace Trainer Kassandra";"B|W";"Celestial Tower"
"Ether";"B1F, on a rock northwest of Ace Trainer Terry (hidden)";"B|W";"Challenger's Cave"
"Max Potion";"B1F, in the wall, north of the stairs to B2F (hidden)";"B|W";"Challenger's Cave"
"PP Up";"B1F, northwest corner";"B|W";"Challenger's Cave"
"Nugget";"B1F, south end of bridge";"B|W";"Challenger's Cave"
"Full Restore";"B2F, on a rock near the northeast corner (requires Surf) (hidden)";"B|W";"Challenger's Cave"
"Max Ether";"B2F, on a rock northwest of southeast corner (requires Surf) (hidden)";"B|W";"Challenger's Cave"
"Timer Ball";"B2F, under a bridge in the southeast corner (requires Surf)";"B|W";"Challenger's Cave"
"Star Piece";"B2F, on a rock in the southwest corner (requires Surf) (hidden)";"B|W";"Challenger's Cave"
"Rare Candy";"B2F, on rock west of Veteran Julia, southeast of Protein (requires Surf) (hidden)";"B|W";"Challenger's Cave"
"Protein";"B2F, in pit west of Veteran Julia (requires Surf)";"B|W";"Challenger's Cave"
"TM71 (Stone Edge)";"B2F, east of Protein (requires Surf)";"B|W";"Challenger's Cave"
"Heart Scale";"B2F, on south end of island northeast of Veteran Julia (requires Surf) (hidden)";"B|W";"Challenger's Cave"
"Oval Stone";"B2F, middle of long island northeast of Veteran Julia (requires Surf)";"B|W";"Challenger's Cave"
"Black Belt";"B2F, on the east side of the river, north of the ledge (requires Surf)";"B|W";"Challenger's Cave"
"Fire Gem";"Dust cloud";"B|W";"Challenger's Cave"
"Water Gem";"Dust cloud";"B|W";"Challenger's Cave"
"Electric Gem";"Dust cloud";"B|W";"Challenger's Cave"
"Grass Gem";"Dust cloud";"B|W";"Challenger's Cave"
"Ice Gem";"Dust cloud";"B|W";"Challenger's Cave"
"Fighting Gem";"Dust cloud";"B|W";"Challenger's Cave"
"Poison Gem";"Dust cloud";"B|W";"Challenger's Cave"
"Ground Gem";"Dust cloud";"B|W";"Challenger's Cave"
"Flying Gem";"Dust cloud";"B|W";"Challenger's Cave"
"Psychic Gem";"Dust cloud";"B|W";"Challenger's Cave"
"Bug Gem";"Dust cloud";"B|W";"Challenger's Cave"
"Rock Gem";"Dust cloud";"B|W";"Challenger's Cave"
"Ghost Gem";"Dust cloud";"B|W";"Challenger's Cave"
"Dragon Gem";"Dust cloud";"B|W";"Challenger's Cave"
"Dark Gem";"Dust cloud";"B|W";"Challenger's Cave"
"Steel Gem";"Dust cloud";"B|W";"Challenger's Cave"
"Normal Gem";"Dust cloud";"B|W";"Challenger's Cave"
"Fire Stone";"Dust cloud";"B|W";"Challenger's Cave"
"Water Stone";"Dust cloud";"B|W";"Challenger's Cave"
"Thunderstone";"Dust cloud";"B|W";"Challenger's Cave"
"Leaf Stone";"Dust cloud";"B|W";"Challenger's Cave"
"Moon Stone";"Dust cloud";"B|W";"Challenger's Cave"
"Sun Stone";"Dust cloud";"B|W";"Challenger's Cave"
"Shiny Stone";"Dust cloud";"B|W";"Challenger's Cave"
"Dusk Stone";"Dust cloud";"B|W";"Challenger's Cave"
"Dawn Stone";"Dust cloud";"B|W";"Challenger's Cave"
"Oval Stone";"Dust cloud";"B|W";"Challenger's Cave"
"Everstone";"Dust cloud";"B|W";"Challenger's Cave"
"Hard Stone";"Dust cloud";"B|W";"Challenger's Cave"
"TM78 (Bulldoze)";"In front of the entrance, as the reward for defeating Clay in his Gym";"B|W";"Chargestone Cave"
"Lucky Egg";"1F, received from Professor Juniper";"B|W";"Chargestone Cave"
"Parlyz Heal";"1F, area north of second push stone";"B|W";"Chargestone Cave"
"Parlyz Heal";"B1F, alcove west of Nugget Brothers (hidden)";"B|W";"Chargestone Cave"
"Parlyz Heal";"B2F, in the east (hidden)";"B|W";"Chargestone Cave"
"Revive";"1F, south of two push stones";"B|W";"Chargestone Cave"
"Heal Ball";"1F, northernmost ledge";"B|W";"Chargestone Cave"
"Elixir";"1F, alcove north of Ace Trainer Jared (hidden)";"B|W";"Chargestone Cave"
"Hyper Potion";"1F, east of bridge";"B|W";"Chargestone Cave"
"Iron";"1F, south of bridge on east side";"B|W";"Chargestone Cave"
"HP Up";"1F, accessible by stairs west of Nugget Brothers (hidden)";"B|W";"Chargestone Cave"
"Max Potion";"1F, north of Hiker Hardy (hidden)";"B|W";"Chargestone Cave"
"Magnet";"1F, east of Ace Trainer Corky";"B|W|B2|W2";"Chargestone Cave"
"Nugget";"B1F, given by Nugget Brothers";"B|W";"Chargestone Cave"
"Revive";"B1F, on wall west of Doctor Wayne (hidden)";"B|W";"Chargestone Cave"
"Timer Ball";"B1F, north of Nugget Brothers";"B|W";"Chargestone Cave"
"Thunderstone";"B1F, west of Team Plasma";"B|W";"Chargestone Cave"
"BrightPowder";"B2F, in the northeast";"B|W";"Chargestone Cave"
"Star Piece";"B2F, in the west, downstairs (hidden)";"B|W";"Chargestone Cave"
"Hyper Potion";"B2F, in the west, downstairs";"B|W";"Chargestone Cave"
"Rare Candy";"B2F, in the east, downstairs";"B|W";"Chargestone Cave"
"TM69 (Rock Polish)";"B2F, given by Bronius post-game";"B|W";"Chargestone Cave"
"Fire Gem";"Dust cloud";"B|W|B2|W2";"Chargestone Cave"
"Water Gem";"Dust cloud";"B|W|B2|W2";"Chargestone Cave"
"Electric Gem";"Dust cloud";"B|W|B2|W2";"Chargestone Cave"
"Grass Gem";"Dust cloud";"B|W|B2|W2";"Chargestone Cave"
"Ice Gem";"Dust cloud";"B|W|B2|W2";"Chargestone Cave"
"Fighting Gem";"Dust cloud";"B|W|B2|W2";"Chargestone Cave"
"Poison Gem";"Dust cloud";"B|W|B2|W2";"Chargestone Cave"
"Ground Gem";"Dust cloud";"B|W|B2|W2";"Chargestone Cave"
"Flying Gem";"Dust cloud";"B|W|B2|W2";"Chargestone Cave"
"Psychic Gem";"Dust cloud";"B|W|B2|W2";"Chargestone Cave"
"Bug Gem";"Dust cloud";"B|W|B2|W2";"Chargestone Cave"
"Rock Gem";"Dust cloud";"B|W|B2|W2";"Chargestone Cave"
"Ghost Gem";"Dust cloud";"B|W|B2|W2";"Chargestone Cave"
"Dragon Gem";"Dust cloud";"B|W|B2|W2";"Chargestone Cave"
"Dark Gem";"Dust cloud";"B|W|B2|W2";"Chargestone Cave"
"Steel Gem";"Dust cloud";"B|W|B2|W2";"Chargestone Cave"
"Normal Gem";"Dust cloud";"B|W|B2|W2";"Chargestone Cave"
"Fire Stone";"Dust cloud";"B|W|B2|W2";"Chargestone Cave"
"Water Stone";"Dust cloud";"B|W|B2|W2";"Chargestone Cave"
"Thunderstone";"Dust cloud";"B|W|B2|W2";"Chargestone Cave"
"Leaf Stone";"Dust cloud";"B|W|B2|W2";"Chargestone Cave"
"Moon Stone";"Dust cloud";"B|W|B2|W2";"Chargestone Cave"
"Sun Stone";"Dust cloud";"B|W|B2|W2";"Chargestone Cave"
"Shiny Stone";"Dust cloud";"B|W|B2|W2";"Chargestone Cave"
"Dusk Stone";"Dust cloud";"B|W|B2|W2";"Chargestone Cave"
"Dawn Stone";"Dust cloud";"B|W|B2|W2";"Chargestone Cave"
"Oval Stone";"Dust cloud";"B|W|B2|W2";"Chargestone Cave"
"Everstone";"Dust cloud";"B|W|B2|W2";"Chargestone Cave"
"Hard Stone";"Dust cloud";"B|W";"Chargestone Cave"
"Hyper Potion";"In the northeast area (hidden)";"B|W";"Cold Storage"
"Rocky Helmet";"Gift from a Worker down an alleyway";"B|W";"Cold Storage"
"PP Up";"In the trash can east of the Vending Machine (hidden)";"B|W";"Cold Storage"
"Ether";"East of the main warehouse, along the water";"B|W";"Cold Storage"
"Dive Ball";"In the southwest corner of the dark grass (hidden)";"B|W";"Cold Storage"
"Protein";"In the northeast part of the dark grass";"B|W";"Cold Storage"
"Heart Scale";"On the west side of the main warehouse";"B|W";"Cold Storage"
"Net Ball";"Near the entrance, up the stairs";"B|W";"Cold Storage"
"TM55 (Scald)";"Near the entrance, in the southeast corner of the first field of ice";"B|W";"Cold Storage"
"Ice Heal";"In the southeast corner, near Worker Patton";"B|W";"Cold Storage"
"Hyper Potion";"In the northeast corner, next to Worker Ryan";"B|W";"Cold Storage"
"NeverMeltIce";"In the container with Team Plasma, accessible after defeating them";"B|W";"Cold Storage"
"TM01 (Hone Claws)";"In the container, given by Zinzolin (post-game)";"B|W";"Cold Storage"
"BlackGlasses";"West of Backpacker Liz";"B|W";"Desert Resort"
"Soft Sand";"Received from the man in black";"B|W|B2|W2";"Desert Resort"
"Hyper Potion";"Northeast corner of the desert (hidden)";"B|W";"Desert Resort"
"Fresh Water";"North of Psychic Cybil";"B|W";"Desert Resort"
"Super Potion";"Northwest of Backpacker Elaine";"B|W";"Desert Resort"
"Ether";"Northwest of the Super Potion (hidden)";"B|W";"Desert Resort"
"Heart Scale";"Northwest corner of the desert";"B|W";"Desert Resort"
"Stardust";"Southeast of Psychic Low";"B|W";"Desert Resort"
"Stardust";"Northwest of Pokémon Ranger Mylene (hidden)";"B|W";"Desert Resort"
"Rawst Berry";"From Pokémon Ranger MyleneBW/AnjaB2W2 after defeating her";"B|W|B2|W2";"Desert Resort"
"Rawst Berry";"From Pokémon Ranger Jaden after defeating him";"B|W|B2|W2";"Desert Resort"
"TM39 (Rock Tomb)";"South of Pokémon Ranger Jaden";"B|W";"Desert Resort"
"Fire Stone";"Northwest of Psychic Gaven";"B|W";"Desert Resort"
"Rare Candy";"South of Psychic Gaven (hidden)";"B|W";"Desert Resort"
"RageCandyBar";"Received from Professor Juniper after defeating Ghetsis";"B|W";"Desert Resort"
"Nugget";"Entrance, on the slope at the exit of Icirrus CityWinter";"B|W";"Dragonspiral Tower"
"Old Gateau";"Entrance, gift from Cedric Juniper before climbing up the tower";"B|W|B2|W2";"Dragonspiral Tower"
"Heart Scale";"On the eastern outer wall of the tower (requires Surf) (hidden)";"B|W";"Dragonspiral Tower"
"TM63 (Embargo)";"Eastern edge of the outside area (requires Surf)";"B|W";"Dragonspiral Tower"
"Hyper Potion";"2F, northeast corner";"B|W";"Dragonspiral Tower"
"Stardust";"2F, on the top of a pillar";"B|W";"Dragonspiral Tower"
"Shiny Stone";"3F, northeast corner";"B|W";"Dragonspiral Tower"
"Dragon Fang";"4F, northeast platform";"B|W";"Dragonspiral Tower"
"Stardust";"5F, first ring";"B|W";"Dragonspiral Tower"
"Revive";"5F, second ring";"B|W";"Dragonspiral Tower"
"Star Piece";"5F, third ring";"B|W";"Dragonspiral Tower"
"Max Elixir";"6F, northeast corner";"B|W";"Dragonspiral Tower"
"X Defend";"Northern area: beyond the gap in the wall in the east";"B|W";"Dreamyard"
"Poké Ball";"Northern area: in the patch of tall grass in the west (requires Cut)";"B|W";"Dreamyard"
"Parlyz Heal";"Northern area: south of the stairs to the second floor of the ruins (requires Cut)";"B|W";"Dreamyard"
"Repel";"Northern area: on the far east part on the second floor of the ruins (requires Cut)";"B|W";"Dreamyard"
"Potion";"Northern area: in the far south part on the second floor of the ruins (requires Cut)";"B|W";"Dreamyard"
"Ultra Ball";"Northern area: north of the lone barrel near the eastern patch of tall grass (hidden) (post-game)";"B|W";"Dreamyard"
"Revive";"Southern area: northwest of the eastern stairs, east of the furnace (post-game)";"B|W";"Dreamyard"
"TM75 (Swords Dance)";"Southern area: gift from Gorm of the Seven Sages, south of the eastern stairs (post-game)";"B|W";"Dreamyard"
"Max Potion";"Southern area: in a barrel south of the western stairs (hidden) (post-game)";"B|W";"Dreamyard"
"Hyper Potion";"Southern area: west of the western stairs, in between the wall and the trees (post-game)";"B|W";"Dreamyard"
"Awakening";"In a crate south of the northern stairs (hidden)";"B|W";"Dreamyard"
"Awakening";"In a lone crate in the west (hidden)";"B|W";"Dreamyard"
"Awakening";"In a lone crate near the southwest corner (hidden)";"B|W";"Dreamyard"
"TwistedSpoon";"In the southwest corner";"B|W";"Dreamyard"
"TM85 (Dream Eater)";"In the northwest corner, accessible from the western stairs in the ruins";"B|W";"Dreamyard"
"Shell Bell";"From the old man in the house southeast of the Pokémon Center, if the player has seen more than 50 Pokémon";"B|W";"Driftveil City"
"Sitrus Berry";"Held by RedeyeB/BlueeyeW, a Basculin the player can obtain in a trade";"B|W";"Driftveil City"
"Repeat Ball";"From the girl at the upper floor of the Pokémon Center";"B|W";"Driftveil City"
"Heart Scale";"Southeast of the sold-out woman at the market (hidden)";"B|W";"Driftveil City"
"Big Pearl";"In the southwest corner of the market, accessed from the western entrance";"B|W";"Driftveil City"
"Ultra Ball";"At the end of the narrow path at the northwest corner of the city";"B|W";"Driftveil City"
"HM02 (Fly)";"From Bianca after defeating her";"B|W";"Driftveil City"
"Water Stone";"Next to the lighthouse off the shore (requires Surf)";"B|W";"Driftveil City"
"Expert Belt";"From the man in black at the market, if the player has a Pokémon that is level 30 or higher";"B|W|B2|W2";"Driftveil City"
"Heart Scale";"From a Lady in the house north of the marketBW/on 1F of Driftveil Luxury SuitesB2W2, if the player has a Pokémon knowing the asked TM move (daily)";"B|W|B2|W2";"Driftveil City"
"Health Wing";"Flying Pokémon's shadow";"B|W|B2|W2";"Driftveil Drawbridge"
"Muscle Wing";"Flying Pokémon's shadow";"B|W|B2|W2";"Driftveil Drawbridge"
"Resist Wing";"Flying Pokémon's shadow";"B|W|B2|W2";"Driftveil Drawbridge"
"Genius Wing";"Flying Pokémon's shadow";"B|W|B2|W2";"Driftveil Drawbridge"
"Clever Wing";"Flying Pokémon's shadow";"B|W|B2|W2";"Driftveil Drawbridge"
"Swift Wing";"Flying Pokémon's shadow";"B|W|B2|W2";"Driftveil Drawbridge"
"Pretty Wing";"Flying Pokémon's shadow";"B|W|B2|W2";"Driftveil Drawbridge"
"Pass Orb ×?";"Reward for completing an EntralinkBW/FunfestB2W2 mission";"B|W|B2|W2";"Entralink"
"Dream Ball";"Appears in the Bag during a wild encounter, disappears if not used during the encounter";"B|W|B2|W2";"Entralink"
"Big Mushroom";"On a rock northwest of the entrance (hidden)";"B|W";"Giant Chasm"
"Star Piece";"Northeast of southwest corner, on the other side of a Strength boulder (requires Strength)";"B|W";"Giant Chasm"
"Star Piece";"Behind a Strength boulder east of the northwest corner (requires Strength)";"B|W";"Giant Chasm"
"TinyMushroom";"On rock near the northwest corner (hidden)";"B|W";"Giant Chasm"
"TinyMushroom";"On a small rock between the two northern Strength boulders (hidden)";"B|W";"Giant Chasm"
"Comet Shard";"Behind a Strength boulder near the northeastern corner (requires Strength)";"B|W";"Giant Chasm"
"Max Elixir";"In the southwest corner";"B|W";"Giant Chasm"
"Max Potion";"Next to trees north from the entrance";"B|W";"Giant Chasm"
"Revive";"Next to a batch of dark tall grass in the northwest";"B|W";"Giant Chasm"
"Carbos";"Between two rocks south of the northern wall";"B|W";"Giant Chasm"
"TM13 (Ice Beam)";"Southwest of the stairs leading to Kyurem's area";"B|W";"Giant Chasm"
"Full Heal";"South of the stairs leading to Kyurem's area, near a patch of dark grass in the eastern part of the forest";"B|W";"Giant Chasm"
"Max Revive";"In the southeastern corner of the forest";"B|W";"Giant Chasm"
"TM03 (Psyshock)";"In the southern part of the forest, near the path that leads to the center";"B|W";"Giant Chasm"
"Fire Gem";"Dust cloud";"B|W|B2|W2";"Giant Chasm"
"Water Gem";"Dust cloud";"B|W|B2|W2";"Giant Chasm"
"Electric Gem";"Dust cloud";"B|W|B2|W2";"Giant Chasm"
"Grass Gem";"Dust cloud";"B|W|B2|W2";"Giant Chasm"
"Ice Gem";"Dust cloud";"B|W|B2|W2";"Giant Chasm"
"Fighting Gem";"Dust cloud";"B|W|B2|W2";"Giant Chasm"
"Poison Gem";"Dust cloud";"B|W|B2|W2";"Giant Chasm"
"Ground Gem";"Dust cloud";"B|W|B2|W2";"Giant Chasm"
"Flying Gem";"Dust cloud";"B|W|B2|W2";"Giant Chasm"
"Psychic Gem";"Dust cloud";"B|W|B2|W2";"Giant Chasm"
"Bug Gem";"Dust cloud";"B|W|B2|W2";"Giant Chasm"
"Rock Gem";"Dust cloud";"B|W|B2|W2";"Giant Chasm"
"Ghost Gem";"Dust cloud";"B|W|B2|W2";"Giant Chasm"
"Dragon Gem";"Dust cloud";"B|W|B2|W2";"Giant Chasm"
"Dark Gem";"Dust cloud";"B|W|B2|W2";"Giant Chasm"
"Steel Gem";"Dust cloud";"B|W|B2|W2";"Giant Chasm"
"Normal Gem";"Dust cloud";"B|W|B2|W2";"Giant Chasm"
"Fire Stone";"Dust cloud";"B|W|B2|W2";"Giant Chasm"
"Water Stone";"Dust cloud";"B|W|B2|W2";"Giant Chasm"
